title,original_price,current_price
Doraemon học tập - Làm quen với biểu đồ (2...,"30,000₫","27,000₫"
Doraemon phiên bản điện ảnh màu - Nobita v...,"50,000₫","45,000₫"
Doraemon truyện ngắn - Tập 33 (2021),"18,000₫","16,200₫"
Doraemon tranh truyện màu - Năm 2112 - Dor...,"25,000₫","22,500₫"
Doraemon tuyển tập tranh truyện màu - Tập ...,"40,000₫","36,000₫"
Doraemon tranh truyện màu - Nobita và chuy...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Đấng toàn năng...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Đấng toàn năng...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita vũ trụ ...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita và cuộc...,"25,000₫","22,500₫"
Đội quân Doraemon - Tập 2 (2020),"18,000₫","16,200₫"
Fujiko F Fujio Đại tuyển tập - Doraemon tr...,"145,000₫","130,500₫"
Đội quân Doraemon đặc biệt - Tập 1 (2020),"18,000₫","16,200₫"
